表6.1 用户认证模块测试
表6.5 RAG知识库模块测试
测试编号,测试项目,输入数据,预期结果,实际结果,是否通过
TC-048,创建知识库,知识库名：测试库，描述：测试,创建成功，返回知识库ID,创建成功，返回知识库ID,通过
TC-049,知识库名为空,知识库名：空，描述：测试,提示"知识库名不能为空",返回错误提示"知识库名不能为空",通过
TC-050,知识库名已存在,知识库名：existing_kb，描述：测试,提示"知识库名已存在",返回错误提示"知识库名已存在",通过
TC-051,上传Markdown文档,知识库ID：1，文件：test.md,上传成功，自动入库,文档被分段、向量化、存储,通过
TC-052,上传PDF文档,知识库ID：1，文件：test.pdf,上传成功，自动入库,文本被提取、分段、向量化,通过
TC-053,上传Word文档,知识库ID：1，文件：test.docx,上传成功，自动入库,文本被提取、分段、向量化,通过
TC-054,文件过大,知识库ID：1，文件：20MB+,提示"文件大小不能超过20MB",返回错误提示"文件大小不能超过20MB",通过
TC-055,不支持的文件格式,知识库ID：1，文件：test.exe,提示"不支持的文件格式",返回错误提示"不支持的文件格式",通过
TC-056,知识库检索,知识库ID：1，查询："AI技术",返回相关文档片段,返回向量相似度最高的片段,通过
TC-057,混合检索,知识库ID：1，查询："AI技术",返回向量+关键词混合结果,返回综合排序的检索结果,通过
TC-058,获取引用上下文,知识库ID：1，分片ID：1,返回分片及前后文,返回分片内容及上下文窗口,通过
TC-059,删除知识库,知识库ID：1,删除成功,知识库及其文档被逻辑删除,通过
TC-060,删除他人知识库,知识库ID：2（他人创建）,提示"无权删除该知识库",返回错误提示"无权删除该知识库",通过
